;day_of_week;day_of_year;hour;Vacances_C;Férié;Real visitor number;Predicted visitor number
7298;6,0;154,0;400,0;-1,0;-1,0;0,0;0,0
7299;6,0;154,0;430,0;-1,0;-1,0;0,0;0,0
7300;6,0;154,0;500,0;-1,0;-1,0;0,0;0,0
7301;6,0;154,0;530,0;-1,0;-1,0;0,0;0,0
7302;6,0;154,0;600,0;-1,0;-1,0;0,0;0,0
7303;6,0;154,0;630,0;-1,0;-1,0;0,0;0,0
7304;6,0;154,0;700,0;-1,0;-1,0;0,0;0,0
7305;6,0;154,0;730,0;-1,0;-1,0;0,0;0,0
7306;6,0;154,0;800,0;-1,0;-1,0;0,0;0,0
7307;6,0;154,0;830,0;-1,0;-1,0;0,0;0,0
7308;6,0;154,0;900,0;-1,0;-1,0;0,0;0,0
7309;6,0;154,0;930,0;-1,0;-1,0;0,0;0,002
7310;6,0;154,0;1000,0;-1,0;-1,0;0,0;0,2538
7311;6,0;154,0;1030,0;-1,0;-1,0;38,0;11,92273333333333
7312;6,0;154,0;1100,0;-1,0;-1,0;66,0;17,769985714285713
7313;6,0;154,0;1130,0;-1,0;-1,0;78,0;24,30985238095239
7314;6,0;154,0;1200,0;-1,0;-1,0;85,0;24,222999999999992
7315;6,0;154,0;1230,0;-1,0;-1,0;96,0;25,51644761904761
7316;6,0;154,0;1300,0;-1,0;-1,0;98,0;26,158883333333332
7317;6,0;154,0;1330,0;-1,0;-1,0;106,0;29,082123809523807
7318;6,0;154,0;1400,0;-1,0;-1,0;111,0;31,230623809523806
7319;6,0;154,0;1430,0;-1,0;-1,0;119,0;32,80379047619048
7320;6,0;154,0;1500,0;-1,0;-1,0;121,0;34,893100000000004
7321;6,0;154,0;1530,0;-1,0;-1,0;128,0;33,1037
7322;6,0;154,0;1600,0;-1,0;-1,0;126,0;34,05856904761905
7323;6,0;154,0;1630,0;-1,0;-1,0;126,0;34,75248333333333
7324;6,0;154,0;1700,0;-1,0;-1,0;122,0;33,931450000000005
7325;6,0;154,0;1730,0;-1,0;-1,0;125,0;31,58417142857142
7326;6,0;154,0;1800,0;-1,0;-1,0;111,0;31,313552380952373
7327;6,0;154,0;1830,0;-1,0;-1,0;102,0;31,742366666666655
7328;6,0;154,0;1900,0;-1,0;-1,0;92,0;26,34333333333334
7329;6,0;154,0;1930,0;-1,0;-1,0;81,0;25,661566666666662
7330;6,0;154,0;2000,0;-1,0;-1,0;38,0;15,055526190476186
7331;6,0;154,0;2030,0;-1,0;-1,0;38,0;15,008066666666664
7332;6,0;154,0;2100,0;-1,0;-1,0;0,0;0,098
7333;6,0;154,0;2130,0;-1,0;-1,0;0,0;0,04
7334;6,0;154,0;2200,0;-1,0;-1,0;0,0;0,0
7335;6,0;154,0;2230,0;-1,0;-1,0;0,0;0,0
7336;6,0;154,0;2300,0;-1,0;-1,0;0,0;0,0
7337;6,0;154,0;2330,0;-1,0;-1,0;0,0;0,0
7338;0,0;155,0;0,0;-1,0;-1,0;0,0;0,0
7339;0,0;155,0;30,0;-1,0;-1,0;0,0;0,0
7340;0,0;155,0;100,0;-1,0;-1,0;0,0;0,0
7341;0,0;155,0;130,0;-1,0;-1,0;0,0;0,0
7342;0,0;155,0;200,0;-1,0;-1,0;0,0;0,0
7343;0,0;155,0;230,0;-1,0;-1,0;0,0;0,0
7344;0,0;155,0;300,0;-1,0;-1,0;0,0;0,0
7345;0,0;155,0;330,0;-1,0;-1,0;0,0;0,0
7346;0,0;155,0;400,0;-1,0;-1,0;0,0;0,0
7347;0,0;155,0;430,0;-1,0;-1,0;0,0;0,0
7348;0,0;155,0;500,0;-1,0;-1,0;0,0;0,0
7349;0,0;155,0;530,0;-1,0;-1,0;0,0;0,0
7350;0,0;155,0;600,0;-1,0;-1,0;0,0;0,0
7351;0,0;155,0;630,0;-1,0;-1,0;0,0;0,0
