;day_of_week;day_of_year;hour;Vacances_C;Férié;Real visitor number;Predicted visitor number
169;3,0;4,0;1230,0;-1,0;-1,0;405,0;11,024
170;3,0;4,0;1300,0;-1,0;-1,0;465,0;17,826
171;3,0;4,0;1330,0;-1,0;-1,0;510,0;29,704
172;3,0;4,0;1400,0;-1,0;-1,0;548,0;19,104
173;3,0;4,0;1430,0;-1,0;-1,0;616,0;0,0
174;3,0;4,0;1500,0;-1,0;-1,0;664,0;0,0
175;3,0;4,0;1530,0;-1,0;-1,0;661,0;0,0
176;3,0;4,0;1600,0;-1,0;-1,0;672,0;0,0
177;3,0;4,0;1630,0;-1,0;-1,0;656,0;0,0
178;3,0;4,0;1700,0;-1,0;-1,0;658,0;0,0
179;3,0;4,0;1730,0;-1,0;-1,0;662,0;0,0
180;3,0;4,0;1800,0;-1,0;-1,0;656,0;0,0
181;3,0;4,0;1830,0;-1,0;-1,0;642,0;0,0
182;3,0;4,0;1900,0;-1,0;-1,0;624,0;0,0
183;3,0;4,0;1930,0;-1,0;-1,0;579,0;1,15
184;3,0;4,0;2000,0;-1,0;-1,0;543,0;22,042
185;3,0;4,0;2030,0;-1,0;-1,0;456,0;76,958
186;3,0;4,0;2100,0;-1,0;-1,0;384,0;68,088
187;3,0;4,0;2130,0;-1,0;-1,0;291,0;111,512
188;3,0;4,0;2200,0;-1,0;-1,0;18,0;9,21
189;3,0;4,0;2230,0;-1,0;-1,0;18,0;9,982
190;3,0;4,0;2300,0;-1,0;-1,0;0,0;0,0
191;3,0;4,0;2330,0;-1,0;-1,0;0,0;0,0
192;4,0;5,0;0,0;-1,0;-1,0;0,0;0,0
193;4,0;5,0;30,0;-1,0;-1,0;0,0;0,0
194;4,0;5,0;100,0;-1,0;-1,0;0,0;0,0
195;4,0;5,0;130,0;-1,0;-1,0;0,0;0,0
196;4,0;5,0;200,0;-1,0;-1,0;0,0;0,0
197;4,0;5,0;230,0;-1,0;-1,0;0,0;0,0
198;4,0;5,0;300,0;-1,0;-1,0;0,0;0,0
199;4,0;5,0;330,0;-1,0;-1,0;0,0;0,0
200;4,0;5,0;400,0;-1,0;-1,0;0,0;0,0
201;4,0;5,0;430,0;-1,0;-1,0;0,0;0,0
202;4,0;5,0;500,0;-1,0;-1,0;0,0;0,0
203;4,0;5,0;530,0;-1,0;-1,0;0,0;0,0
204;4,0;5,0;600,0;-1,0;-1,0;0,0;0,0
205;4,0;5,0;630,0;-1,0;-1,0;0,0;0,0
206;4,0;5,0;700,0;-1,0;-1,0;0,0;0,0
207;4,0;5,0;730,0;-1,0;-1,0;0,0;0,0
208;4,0;5,0;800,0;-1,0;-1,0;0,0;0,0
209;4,0;5,0;830,0;-1,0;-1,0;0,0;0,0
210;4,0;5,0;900,0;-1,0;-1,0;0,0;0,0
211;4,0;5,0;930,0;-1,0;-1,0;0,0;0,0
212;4,0;5,0;1000,0;-1,0;-1,0;0,0;9,546
213;4,0;5,0;1030,0;-1,0;-1,0;12,0;105,592
214;4,0;5,0;1100,0;-1,0;-1,0;18,0;194,022
215;4,0;5,0;1130,0;-1,0;-1,0;24,0;248,392
216;4,0;5,0;1200,0;-1,0;-1,0;13,0;296,73
217;4,0;5,0;1230,0;-1,0;-1,0;402,0;325,516
218;4,0;5,0;1300,0;-1,0;-1,0;449,0;339,748
219;4,0;5,0;1330,0;-1,0;-1,0;508,0;362,672
220;4,0;5,0;1400,0;-1,0;-1,0;559,0;397,076
221;4,0;5,0;1430,0;-1,0;-1,0;628,0;457,096
222;4,0;5,0;1500,0;-1,0;-1,0;670,0;492,234
223;4,0;5,0;1530,0;-1,0;-1,0;673,0;529,262
224;4,0;5,0;1600,0;-1,0;-1,0;675,0;559,218
225;4,0;5,0;1630,0;-1,0;-1,0;664,0;583,938
226;4,0;5,0;1700,0;-1,0;-1,0;663,0;623,842
227;4,0;5,0;1730,0;-1,0;-1,0;680,0;635,332
228;4,0;5,0;1800,0;-1,0;-1,0;669,0;634,608
229;4,0;5,0;1830,0;-1,0;-1,0;660,0;626,342
230;4,0;5,0;1900,0;-1,0;-1,0;656,0;612,154
231;4,0;5,0;1930,0;-1,0;-1,0;626,0;566,1
232;4,0;5,0;2000,0;-1,0;-1,0;591,0;519,174
233;4,0;5,0;2030,0;-1,0;-1,0;549,0;438,16
234;4,0;5,0;2100,0;-1,0;-1,0;458,0;331,666
235;4,0;5,0;2130,0;-1,0;-1,0;338,0;197,152
236;4,0;5,0;2200,0;-1,0;-1,0;27,0;18,292
237;4,0;5,0;2230,0;-1,0;-1,0;27,0;18,622
238;4,0;5,0;2300,0;-1,0;-1,0;0,0;0,0
239;4,0;5,0;2330,0;-1,0;-1,0;0,0;0,0
240;5,0;6,0;0,0;-1,0;-1,0;0,0;0,0
241;5,0;6,0;30,0;-1,0;-1,0;0,0;0,0
242;5,0;6,0;100,0;-1,0;-1,0;0,0;0,0
243;5,0;6,0;130,0;-1,0;-1,0;0,0;0,0
244;5,0;6,0;200,0;-1,0;-1,0;0,0;0,0
245;5,0;6,0;230,0;-1,0;-1,0;0,0;0,0
246;5,0;6,0;300,0;-1,0;-1,0;0,0;0,0
247;5,0;6,0;330,0;-1,0;-1,0;0,0;0,0
248;5,0;6,0;400,0;-1,0;-1,0;0,0;0,0
249;5,0;6,0;430,0;-1,0;-1,0;0,0;0,0
250;5,0;6,0;500,0;-1,0;-1,0;0,0;0,0
251;5,0;6,0;530,0;-1,0;-1,0;0,0;0,0
252;5,0;6,0;600,0;-1,0;-1,0;0,0;0,0
253;5,0;6,0;630,0;-1,0;-1,0;0,0;0,0
254;5,0;6,0;700,0;-1,0;-1,0;0,0;0,0
255;5,0;6,0;730,0;-1,0;-1,0;0,0;0,0
256;5,0;6,0;800,0;-1,0;-1,0;0,0;0,0
257;5,0;6,0;830,0;-1,0;-1,0;0,0;0,0
258;5,0;6,0;900,0;-1,0;-1,0;0,0;0,0
259;5,0;6,0;930,0;-1,0;-1,0;0,0;0,0
260;5,0;6,0;1000,0;-1,0;-1,0;16,0;11,33
261;5,0;6,0;1030,0;-1,0;-1,0;173,0;124,04
262;5,0;6,0;1100,0;-1,0;-1,0;308,0;211,768
263;5,0;6,0;1130,0;-1,0;-1,0;390,0;276,7
264;5,0;6,0;1200,0;-1,0;-1,0;443,0;319,626
265;5,0;6,0;1230,0;-1,0;-1,0;467,0;342,708
266;5,0;6,0;1300,0;-1,0;-1,0;494,0;370,788
267;5,0;6,0;1330,0;-1,0;-1,0;523,0;394,36
268;5,0;6,0;1400,0;-1,0;-1,0;547,0;416,428
269;5,0;6,0;1430,0;-1,0;-1,0;608,0;473,422
270;5,0;6,0;1500,0;-1,0;-1,0;641,0;518,28
271;5,0;6,0;1530,0;-1,0;-1,0;642,0;564,168
272;5,0;6,0;1600,0;-1,0;-1,0;654,0;594,132
273;5,0;6,0;1630,0;-1,0;-1,0;668,0;612,684
274;5,0;6,0;1700,0;-1,0;-1,0;665,0;631,582
275;5,0;6,0;1730,0;-1,0;-1,0;666,0;642,722
276;5,0;6,0;1800,0;-1,0;-1,0;647,0;633,422
277;5,0;6,0;1830,0;-1,0;-1,0;640,0;614,392
278;5,0;6,0;1900,0;-1,0;-1,0;613,0;562,25
279;5,0;6,0;1930,0;-1,0;-1,0;548,0;478,272
280;5,0;6,0;2000,0;-1,0;-1,0;475,0;430,906
281;5,0;6,0;2030,0;-1,0;-1,0;423,0;371,026
282;5,0;6,0;2100,0;-1,0;-1,0;336,0;290,384
283;5,0;6,0;2130,0;-1,0;-1,0;243,0;189,292
284;5,0;6,0;2200,0;-1,0;-1,0;16,0;18,448
285;5,0;6,0;2230,0;-1,0;-1,0;16,0;18,484
286;5,0;6,0;2300,0;-1,0;-1,0;0,0;0,0
287;5,0;6,0;2330,0;-1,0;-1,0;0,0;0,0
288;6,0;7,0;0,0;-1,0;-1,0;0,0;0,0
289;6,0;7,0;30,0;-1,0;-1,0;0,0;0,0
290;6,0;7,0;100,0;-1,0;-1,0;0,0;0,0
291;6,0;7,0;130,0;-1,0;-1,0;0,0;0,0
292;6,0;7,0;200,0;-1,0;-1,0;0,0;0,0
293;6,0;7,0;230,0;-1,0;-1,0;0,0;0,0
294;6,0;7,0;300,0;-1,0;-1,0;0,0;0,0
295;6,0;7,0;330,0;-1,0;-1,0;0,0;0,0
296;6,0;7,0;400,0;-1,0;-1,0;0,0;0,0
297;6,0;7,0;430,0;-1,0;-1,0;0,0;0,0
298;6,0;7,0;500,0;-1,0;-1,0;0,0;0,0
299;6,0;7,0;530,0;-1,0;-1,0;0,0;0,0
300;6,0;7,0;600,0;-1,0;-1,0;0,0;0,0
301;6,0;7,0;630,0;-1,0;-1,0;0,0;0,0
302;6,0;7,0;700,0;-1,0;-1,0;0,0;0,0
303;6,0;7,0;730,0;-1,0;-1,0;0,0;0,0
304;6,0;7,0;800,0;-1,0;-1,0;0,0;0,0
305;6,0;7,0;830,0;-1,0;-1,0;0,0;0,0
306;6,0;7,0;900,0;-1,0;-1,0;0,0;0,0
307;6,0;7,0;930,0;-1,0;-1,0;0,0;0,0
308;6,0;7,0;1000,0;-1,0;-1,0;17,0;12,034
309;6,0;7,0;1030,0;-1,0;-1,0;251,0;187,714
310;6,0;7,0;1100,0;-1,0;-1,0;412,0;353,192
311;6,0;7,0;1130,0;-1,0;-1,0;562,0;448,144
312;6,0;7,0;1200,0;-1,0;-1,0;659,0;548,836
313;6,0;7,0;1230,0;-1,0;-1,0;681,0;623,278
314;6,0;7,0;1300,0;-1,0;-1,0;680,0;667,452
315;6,0;7,0;1330,0;-1,0;-1,0;658,0;665,198
316;6,0;7,0;1400,0;-1,0;-1,0;677,0;671,608
317;6,0;7,0;1430,0;-1,0;-1,0;685,0;670,266
318;6,0;7,0;1500,0;-1,0;-1,0;664,0;667,01
319;6,0;7,0;1530,0;-1,0;-1,0;673,0;664,366
320;6,0;7,0;1600,0;-1,0;-1,0;679,0;658,942
